Threads,Time (s)
18,0.265
19,0.27
20,0.359
21,0.274
22,0.289
23,0.296
24,0.371
25,0.291
26,0.336
27,0.301
28,0.31
29,0.332
30,0.318
31,0.367
32,0.327
33,0.378
34,0.332
35,0.398
36,0.342
37,0.416
38,0.427
39,0.361
40,0.455
1,0.858
2,1.029
3,0.441
4,0.607
5,0.31
6,0.353
7,0.283
8,0.271
9,0.429
10,0.247
11,0.26
12,0.427
13,0.274
14,0.359
15,0.281
16,0.269
17,0.347
18,0.267
19,0.272
20,0.363
21,0.278
22,0.296
23,0.293
24,0.33
25,0.293
26,0.335
27,0.296
28,0.325
29,0.317
30,0.312
31,0.328
32,0.399
33,0.332
34,0.376
35,0.332
36,0.42
37,0.349
38,0.413
39,0.373
40,0.373
1,0.843
2,0.586
3,0.448
4,0.666
5,0.315
6,0.302
7,0.282
8,0.395
9,0.264
10,0.25
11,0.263
12,0.38
13,0.275
14,0.37
15,0.278
16,0.289
17,0.262
18,0.321
19,0.272
20,0.267
21,0.373
22,0.295
23,0.296
24,0.296
25,0.342
26,0.303
27,0.32
28,0.308
29,0.371
30,0.322
31,0.362
32,0.331
33,0.359
34,0.339
35,0.404
36,0.35
37,0.4
38,0.374
39,0.677
40,0.409
1,0.883
2,0.58
3,0.458
4,0.368
5,0.456
6,0.304
7,0.285
8,0.362
9,0.267
10,0.345
11,0.257
12,0.353
13,0.274
14,0.285
15,0.441
16,0.269
17,0.267
18,0.276
19,0.268
20,0.27
21,0.37
22,0.288
23,0.312
24,0.292
25,0.294
26,0.306
27,0.299
28,0.334
29,0.312
30,0.352
31,0.378
32,0.335
33,0.334
34,0.351
35,0.342
36,0.343
37,0.396
38,0.361
39,0.432
40,0.385
1,0.846
2,0.597
3,0.521
4,0.374
5,0.309
6,0.359
7,0.283
8,0.271
9,0.327
10,0.25
11,0.402
12,0.254
13,0.344
14,0.282
15,0.365
16,0.27
17,0.305
18,0.266
19,0.312
20,0.267
21,0.282
22,0.284
23,0.329
24,0.309
25,0.325
26,0.295
27,0.334
28,0.305
29,0.376
30,0.334
31,0.327
32,0.393
33,0.393
34,0.377
35,0.337
36,0.397
37,0.345
38,0.431
39,0.365
40,0.426
1,0.876
2,0.6
3,0.48
4,0.372
5,0.497
6,0.295
7,0.436
8,0.27
9,0.284
10,0.25
11,0.264
12,0.245
13,0.278
14,0.302
15,0.281
16,0.37
17,0.261
18,0.282
19,0.267
20,0.29
21,0.273
22,0.325
23,0.296
24,0.318
25,0.295
26,0.538
27,0.298
28,0.34
29,0.314
30,0.359
31,0.344
32,0.381
33,0.325
34,0.37
35,0.332
36,0.347
37,0.391
38,0.362
39,0.361
40,0.377
1,0.856
2,0.574
3,0.45
4,0.369
5,0.438
6,0.299
7,0.286
8,0.274
9,0.264
10,0.285
11,0.497
12,0.252
13,0.28
14,0.283
15,0.297
16,0.269
17,0.28
18,0.271
19,0.329
20,0.269
21,0.281
22,0.335
23,0.287
24,0.293
25,0.357
26,0.296
27,0.355
28,0.304
29,0.367
30,0.32
31,0.342
32,0.388
33,0.325
34,0.343
35,0.337
36,0.338
37,0.348
38,0.426
39,0.371
40,0.42
1,0.861
2,0.563
3,0.441
4,0.364
5,0.376
6,0.298
7,0.474
8,0.264
9,0.268
10,0.407
11,0.261
12,0.546
13,0.278
14,0.321
15,0.276
16,0.463
17,0.263
18,0.329
19,0.267
20,0.272
21,0.29
22,0.283
23,0.323
24,0.294
25,0.351
26,0.298
27,0.294
28,0.305
29,0.322
30,0.321
31,0.381
32,0.324
33,0.344
34,0.336
35,0.411
36,0.347
37,0.399
38,0.354
39,0.42
40,0.421
1,0.849
2,0.585
3,0.449
4,0.371
5,0.315
6,0.3
7,0.488
8,0.265
9,0.355
10,0.248
11,0.336
12,0.255
13,0.276
14,0.506
15,0.282
16,0.27
17,0.354
18,0.266
19,0.271
20,0.264
21,0.368
22,0.284
23,0.294
24,0.291
25,0.291
26,0.359
27,0.301
28,0.301
29,0.343
30,0.319
31,0.385
32,0.326
33,0.395
34,0.326
35,0.386
36,0.348
37,0.352
38,0.422
39,0.372
40,0.437
1,0.877
2,0.577
3,0.457
4,0.371
5,0.384
6,0.304
7,0.287
8,0.272
9,0.442
10,0.393
11,0.293
12,0.249
13,0.284
14,0.288
15,0.464
16,0.27
17,0.262
18,0.324
19,0.265
20,0.289
21,0.276
22,0.365
23,0.292
24,0.324
25,0.294
26,0.306
27,0.299
28,0.343
29,0.305
30,0.315
31,0.386
32,0.324
33,0.367
34,0.326
35,0.626
36,0.46
37,0.345
38,0.366
39,0.428
40,0.385
1,0.865
2,0.578
3,0.459
4,0.633
5,0.309
6,0.489
7,0.283
8,0.277
9,0.266
10,0.251
11,0.398
12,0.254
13,0.332
14,0.281
15,0.334
16,0.278
17,0.264
18,0.377
19,0.266
20,0.429
21,0.356
22,0.336
23,0.29
24,0.312
25,0.288
26,0.377
27,0.295
28,0.314
29,0.348
30,0.314
31,0.375
32,0.328
33,0.324
34,0.371
35,0.341
36,0.395
37,0.351
38,0.367
39,0.426
40,0.37
1,0.875
2,0.583
3,0.443
4,0.5
5,0.312
6,0.392
7,0.28
8,0.393
9,0.264
10,0.249
11,0.349
12,0.254
13,0.275
14,0.324
15,0.277
16,0.348
17,0.265
18,0.48
19,0.269
20,0.262
21,0.272
22,0.287
23,0.298
24,0.296
25,0.308
26,0.296
27,0.3
28,0.314
29,0.322
30,0.308
31,0.372
32,0.573
33,0.333
34,0.396
35,0.332
36,0.405
37,0.355
38,0.369
39,0.431
40,0.429
1,0.861
2,0.58
3,0.438
4,0.372
5,0.305
6,0.396
7,0.277
8,0.388
9,0.264
10,0.253
11,0.431
12,0.257
13,0.273
14,0.428
15,0.279
16,0.273
17,0.362
18,0.27
19,0.268
20,0.37
21,0.271
22,0.337
23,0.304
24,0.323
25,0.287
26,0.295
27,0.322
28,0.301
29,0.306
30,0.341
31,0.335
32,0.327
33,0.322
34,0.369
35,0.337
36,0.408
37,0.662
38,0.373
39,0.369
40,0.447
1,0.882
2,0.573
3,0.508
4,0.368
5,0.312
6,0.296
7,0.431
8,0.265
9,0.268
10,0.337
11,0.261
12,0.267
13,0.272
14,0.281
15,0.278
16,0.266
17,0.273
18,0.27
19,0.266
20,0.273
21,0.274
22,0.31
23,0.293
24,0.329
25,0.294
26,0.334
27,0.3
28,0.358
29,0.313
30,0.325
31,0.37
32,0.329
33,0.327
34,0.339
35,0.332
36,0.393
37,0.356
38,0.357
39,0.377
40,0.422
1,0.846
2,0.576
3,0.465
4,0.365
5,0.511
6,0.299
7,0.467
8,0.268
9,0.268
10,0.248
11,0.443
12,0.253
13,0.293
14,0.283
15,0.338
16,0.268
17,0.287
18,0.264
19,0.315
20,0.424
21,0.276
22,0.312
23,0.292
24,0.345
25,0.284
26,0.362
27,0.342
28,0.307
29,0.348
30,0.316
31,0.325
32,0.327
33,0.322
34,0.37
35,0.339
36,0.377
37,0.357
38,0.35
39,0.364
40,0.385
